,Classification,pandoc?,markdown_pandoc,markdown_phpextra,markdown_github,markdown_mmd,markdown_strict,Notes
escaped_line_breaks,,1,1,,,,,
blank_before_header,,1,1,,,,,
header_attributes,,1,1,1,,,,
auto_identifiers,,1,1,,1,1,,
implicit_header_references,,1,1,,,1,,
blank_before_blockquote,,1,1,,,,,
fenced_code_blocks,,1,1,1,1,,,
backtick_code_blocks,,1,1,,1,,,
fenced_code_attributes,,1,1,,,,,
line_blocks,,1,1,,,,,
fancy_lists,,1,1,,,,,
startnum,,1,1,,,,,
definition_lists,,1,1,1,,1,,
example_lists,,1,1,,,,,
table_captions,,1,1,,,,,
simple_tables,,1,1,,,,,
multiline_tables,,1,1,,,,,
grid_tables,,1,1,,,,,
pipe_tables,,1,1,1,1,1,,
pandoc_title_block,,1,1,,,,,
yaml_metadata_block,,1,1,,,,,
all_symbols_escapable,,1,1,,,1,,
intraword_underscores,,1,1,1,1,1,,
strikeout,,1,1,,1,,,
subscript,,1,1,,,,,
inline_code_attributes,,1,1,,,,,
tex_math_dollars,,1,1,,,,,
raw_html,,1,1,1,1,1,1,
markdown_in_html_blocks,,1,1,,,,,
native_divs,,1,1,,,,,
native_spans,,1,1,,,,,
raw_tex,,1,1,,,,,
latex_macros,,1,1,,,,,
shortcut_reference_links,,1,1,1,1,1,,
implicit_figures,,1,1,,,,,
link_attributes,,1,1,1,,,,
bracketed_spans,,1,1,,,,,
footnotes,,1,1,1,,1,,
inline_notes,,1,1,,,,,
citations,,1,1,,,,,
lists_without_preceding_blankline,,1,,,,,,
hard_line_breaks,,1,,,1,,,
ignore_line_breaks,,1,,,,,,
east_asian_line_breaks,,1,,,,,,
emoji,,1,,,1,,,
tex_math_single_backslash,,1,,,,,,
tex_math_double_backslash,,1,,,,1,,
markdown_attribute,,1,,1,,1,,
mmd_title_block,,1,,,,1,,
abbreviations,,1,,1,,,,
autolink_bare_uris,,1,,,1,,,
ascii_identifiers,,1,,,1,,,
mmd_link_attributes,,1,,,,1,,
mmd_header_identifiers,,1,,,,1,,
compact_definition_lists,,1,,,,,,